ser,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,educated,population,households,median_income,random_income,ocean_proximity,median_house_value
1,-122.23,37.88,41,880,129,138.46,322,126,8.3252,3.040199167,NEAR BAY,452600
2,-122.22,37.86,21,7099,1106,,2401,1138,8.3014,3.277359185,NEAR BAY,358500
3,-122.24,37.85,52,1467,190,213.28,496,177,7.2574,3.996013294,NEAR BAY,352100
4,-122.25,37.85,52,1274,235,195.3,558,219,5.6431,2.832930712,NEAR BAY,341300
5,-122.25,37.85,52,1627,280,237.3,565,259,3.8462,1.301473392,NEAR BAY,342200
6,-122.25,37.85,52,919,213,181.72,413,193,4.0368,2.854881587,NEAR BAY,269700
7,-122.25,37.84,52,2535,489,481.36,1094,514,3.6591,9.489635494,NEAR BAY,299200
8,-122.25,37.84,52,3104,687,,1157,647,3.12,3.127728031,NEAR BAY,241400
9,-122.26,37.84,42,2555,665,518.58,1206,595,2.0804,9.131586262,NEAR BAY,226700
10,-122.25,37.84,52,3549,707,635.91,1551,714,3.6912,5.924878622,NEAR BAY,261100
11,-122.26,37.85,52,2202,,,910,402,,4.370873045,NEAR BAY,281500
12,-122.26,37.85,52,3503,752,571.52,1504,734,3.2705,7.02681072,NEAR BAY,241800
13,-122.26,37.85,52,2491,474,,1098,468,3.075,8.645589575,NEAR BAY,213500
14,-122.26,37.84,52,696,191,,345,174,2.6736,1.809908894,NEAR BAY,191300
15,-122.26,37.85,52,,626,,1212,620,1.9167,4.310241681,NEAR BAY,159200
16,-122.26,37.85,50,1120,283,299.71,697,264,2.125,3.287497827,NEAR BAY,140000
17,-122.27,37.85,52,1966,347,,793,331,2.775,3.438553498,NEAR BAY,152500
18,-122.27,37.85,52,1228,293,,648,303,2.1202,7.003067723,NEAR BAY,155500
19,-122.26,37.84,50,2239,455,415.8,990,419,1.9911,4.9168291,NEAR BAY,158700
20,-122.27,37.84,52,1503,298,310.5,690,275,2.6033,5.752742333,NEAR BAY,162900
21,-122.27,37.85,40,751,184,147.24,409,166,1.3578,3.890877229,NEAR BAY,147500
22,-122.27,37.85,42,1639,367,,929,366,1.7135,3.674090296,NEAR BAY,159800
